"";"Sp1.TL1";"Sp2.TL1";"Sp3.TL1";"Sp4.TL1";"Sp5.TL1";"Sp6.TL1";"Sp7.TL1";"Sp8.TL1";"Sp9.TL1";"Sp10.TL1";"Sp11.TL1";"Sp12.TL2";"Sp13.TL2";"Sp14.TL2";"Sp15.TL2";"Sp16.TL2";"Sp17.TL2";"Sp18.TL3";"Sp19.TL3";"Sp20.TL3"
"Sp1.TL1";-1;0;0;0;0;0;0;0;0;0;0;0;3,11703249316318;0;0;0;0;0;0;0
"Sp2.TL1";0;-1;0;0;0;0;0;0;0;0;0;1,82619113412777;0,904509370167332;0;2,56454104401857;0;0;0;0;4,47033869944519
"Sp3.TL1";0;0;-1;0;0;0;0;0;0;0;0;3,230343241668;0;0;0;0;5,63672284635056;0;0;0
"Sp4.TL1";0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;11,4104723502953;0,648056346744104;0;0;0
"Sp5.TL1";0;0;0;0;-1;0;0;0;0;0;0;5,20357264488367;0;0;0;0;0;0;0;0
"Sp6.TL1";0;0;0;0;0;-1;0;0;0;0;0;2,23989297932056;0;0;2,87592233063003;0;0;6,21555479598774;0;0
"Sp7.TL1";0;0;0;0;0;0;-1;0;0;0;0;0;6,65800839077097;0;0;1,0895276497047;0;0;4,42504096692261;0
"Sp8.TL1";0;0;0;0;0;0;0;-1;0;0;0;0;1,49710334100058;12,5;0;0;0;0;0;0
"Sp9.TL1";0;0;0;0;0;0;0;0;-1;0;0;0;0;0;7,0595366253514;0;5,49129911517237;0;0;0
"Sp10.TL1";0;0;0;0;0;0;0;0;0;-1;0;0;0,323346404897939;0;0;0;0;3,25264369461943;0;0
"Sp11.TL1";0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0,723921691732967;0;0;1,45026638085961
"Sp12.TL2";0;-1,82619113412777;-3,230343241668;0;-5,20357264488367;-2,23989297932056;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sp13.TL2";-3,11703249316318;-0,904509370167332;0;0;0;0;-6,65800839077097;-1,49710334100058;0;-0,323346404897939;0;0;0;0;0;0;0;0;0;0
"Sp14.TL2";0;0;0;0;0;0;0;-12,5;0;0;0;0;0;0;0;0;0;0;0,549137150838921;4,0793949196952
"Sp15.TL2";0;-2,56454104401857;0;0;0;-2,87592233063003;0;0;-7,0595366253514;0;0;0;0;0;0;0;0;0;0;0
"Sp16.TL2";0;0;0;-11,4104723502953;0;0;-1,0895276497047;0;0;0;0;0;0;0;0;0;0;0,531801509392829;5,02582188223847;0
"Sp17.TL2";0;0;-5,63672284635056;-0,648056346744104;0;0;0;0;-5,49129911517237;0;-0,723921691732967;0;0;0;0;0;0;0;0;0
"Sp18.TL3";0;0;0;0;0;-6,21555479598774;0;0;0;-3,25264369461943;0;0;0;0;0;-0,531801509392829;0;0;0;0
"Sp19.TL3";0;0;0;0;0;0;-4,42504096692261;0;0;0;0;0;0;-0,549137150838921;0;-5,02582188223847;0;0;0;0
"Sp20.TL3";0;-4,47033869944519;0;0;0;0;0;0;0;0;-1,45026638085961;0;0;-4,0793949196952;0;0;0;0;0;0
