"";"Sp1.TL1";"Sp2.TL1";"Sp3.TL1";"Sp4.TL1";"Sp5.TL1";"Sp6.TL1";"Sp7.TL1";"Sp8.TL1";"Sp9.TL1";"Sp10.TL1";"Sp11.TL1";"Sp12.TL2";"Sp13.TL2";"Sp14.TL2";"Sp15.TL2";"Sp16.TL2";"Sp17.TL2";"Sp18.TL3";"Sp19.TL3";"Sp20.TL3"
"Sp1.TL1";-1;0;0;0;0;0;0;0;0;0;0;0;1,186432642317;6,40318435813875;0;0;2,71586083926176;0;0;0
"Sp2.TL1";0;-1;0;0;0;0;0;0;0;0;0;3,71911973959753;0;0;0;9,04196408494523;0;0;0;0
"Sp3.TL1";0;0;-1;0;0;0;0;0;0;0;0;0;0;0;6,16300368601989;0,503812417887072;2,07429677442331;0;0;0,766174381918994
"Sp4.TL1";0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,9708888013341
"Sp5.TL1";0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0,847661116633384;4,31508581796299;1,17671358214004;0;0
"Sp6.TL1";0;0;0;0;0;-1;0;0;0;0;0;0;4,45934717228902;0;2,73539110228624;0;0;1,80778943413042;5,19721835560464;0
"Sp7.TL1";0;0;0;0;0;0;-1;0;0;0;0;0;0;6,09681564186125;0;0;0;0,237815766719512;0,317493208305409;3,10405517490354
"Sp8.TL1";0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;2,10656238053432;0;1,28559440858309;0;0
"Sp9.TL1";0;0;0;0;0;0;0;0;-1;0;0;8,78088026040247;0;0;3,60160521169387;0;0;0;1,36709930061945;0
"Sp10.TL1";0;0;0;0;0;0;0;0;0;-1;0;0;6,29639308386824;0;0;0;2,0901637555789;1,34597167243177;0;0
"Sp11.TL1";0;0;0;0;0;0;0;0;0;0;-1;0;0,557827101525734;0;0;0;1,30459281277305;1,96752924939452;0;0
"Sp12.TL2";0;-1,85955986979876;0;0;0;0;0;0;-4,39044013020124;0;0;0;0;0;0;0;0;0;0;0
"Sp13.TL2";-0,593216321158502;0;0;0;0;-2,22967358614451;0;0;0;-3,14819654193412;-0,278913550762867;0;0;0;0;0;0;0;0;0
"Sp14.TL2";-3,20159217906937;0;0;0;0;0;-3,04840782093063;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sp15.TL2";0;0;-3,08150184300994;0;0;-1,36769555114312;0;0;-1,80080260584693;0;0;0;0;0;0;0;0;0;0;0
"Sp16.TL2";0;-4,52098204247261;-0,251906208943536;0;-0,423830558316692;0;0;-1,05328119026716;0;0;0;0;0;0;0;0;0;2,17858588660065;0;0
"Sp17.TL2";-1,35793041963088;0;-1,03714838721165;0;-2,1575429089815;0;0;0;0;-1,04508187778945;-0,652296406386524;0;0;0;0;0;0;0;3,1181891354705;2,15888164184337
"Sp18.TL3";0;0;0;0;-0,588356791070019;-0,90389471706521;-0,118907883359756;-0,642797204291544;0;-0,672985836215886;-0,983764624697258;0;0;0;0;-1,08929294330033;0;0;0;0
"Sp19.TL3";0;0;0;0;0;-2,59860917780232;-0,158746604152704;0;-0,683549650309726;0;0;0;0;0;0;0;-1,55909456773525;0;0;0
"Sp20.TL3";0;0;-0,383087190959497;-1,98544440066705;0;0;-1,55202758745177;0;0;0;0;0;0;0;0;0;-1,07944082092168;0;0;0
